;id;name;reaction_string
15;12DGR181tipp;1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1); 1:12dgr181_p-> 1:12dgr181_c
16;3AMPtex;3AMP transport via diffusion (extracellular to periplasm); 1:3amp_e-> 1:3amp_p
17;12PPDRtex;(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm); 1:12ppd__R_e-> 1:12ppd__R_p
18;3CMPtex;3CMP transport via diffusion (extracellular to periplasm); 1:3cmp_e-> 1:3cmp_p
19;12PPDRtpp;(R)-Propane-1,2-diol facilitated transport (periplasm); 1:12ppd__R_p-> 1:12ppd__R_c
20;3GMPtex;3GMP transport via diffusion (extracellular to periplasm); 1:3gmp_e-> 1:3gmp_p
21;12PPDStex;(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm); 1:12ppd__S_e-> 1:12ppd__S_p
22;12PPDStpp;(S)-Propane-1,2-diol facilitated transport (periplasm); 1:12ppd__S_p-> 1:12ppd__S_c
23;ADSL1r;Adenylsuccinate lyase; 1:dcamp_c-> 1:amp_c +  1:fum_c
24;3HAD100;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0); 1:3hdecACP_c-> 1:h2o_c +  1:tdec2eACP_c
25;14GLUCANabcpp;1,4-alpha-D-glucan transport via ABC system (periplasm); 1:14glucan_p +  1:atp_c +  1:h2o_c-> 1:14glucan_c +  1:adp_c +  1:h_c +  1:pi_c
26;ADSL2r;Adenylosuccinate lyase; 1:25aics_c-> 1:aicar_c +  1:fum_c
27;14GLUCANtexi;1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible; 1:14glucan_e-> 1:14glucan_p
28;3HAD120;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0); 1:3hddecACP_c-> 1:h2o_c +  1:tddec2eACP_c
29;ADSS;Adenylosuccinate synthase; 1:asp__L_c +  1:gtp_c +  1:imp_c-> 1:dcamp_c +  1:gdp_c +  2:h_c +  1:pi_c
30;AGDC;N-acetylglucosamine-6-phosphate deacetylase; 1:acgam6p_c +  1:h2o_c-> 1:ac_c +  1:gam6p_c
31;23CAMPtex;23cAMP transport via diffusion (extracellular to periplasm); 1:23camp_e-> 1:23camp_p
32;23CCMPtex;23cCMP transport via diffusion (extracellular to periplasm); 1:23ccmp_e-> 1:23ccmp_p
33;23CGMPtex;23cGMP transport via diffusion (extracellular to periplasm); 1:23cgmp_e-> 1:23cgmp_p
34;23CUMPtex;23cUMP transport via diffusion (extracellular to periplasm); 1:23cump_e-> 1:23cump_p
35;23DAPPAt2pp;2,3-diaminopropionate transport in via proton symport; 1:23dappa_p +  1:h_p-> 1:23dappa_c +  1:h_c
36;23DAPPAtex;2,3-diaminopropionate transport via diffusion; 1:23dappa_e-> 1:23dappa_p
37;23PDE2pp;2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm); 1:23cump_p +  1:h2o_p-> 1:3ump_p +  1:h_p
38;23PDE4pp;2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm); 1:23ccmp_p +  1:h2o_p-> 1:3cmp_p +  1:h_p
39;23PDE7pp;2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm); 1:23camp_p +  1:h2o_p-> 1:3amp_p +  1:h_p
40;AGM3PA;N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase; 1:anhgm3p_c +  1:h2o_c-> 1:LalaDgluMdap_c +  1:anhgm_c
41;AGM3PApp;N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase (periplasm); 1:anhgm3p_p +  1:h2o_p-> 1:LalaDgluMdap_p +  1:anhgm_p
42;AGM3PH;N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide beta -1,4-N-acetylglucosaminidase; 1:anhgm3p_c +  1:h2o_c-> 1:acgam_c +  1:anhm3p_c
43;AGM3Pt2pp;GlcNAc-anhMurNAc tripeptide transport in via proton symport (periplasm); 1:anhgm3p_p +  1:h_p-> 1:anhgm3p_c +  1:h_c
44;3HAD140;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0); 1:3hmrsACP_c-> 1:h2o_c +  1:tmrs2eACP_c
45;23PDE9pp;2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm); 1:23cgmp_p +  1:h2o_p-> 1:3gmp_p +  1:h_p
46;26DAHtex;Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm); 1:26dap__M_e-> 1:26dap__M_p
47;3HAD141;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1); 1:3hcmrs7eACP_c-> 1:h2o_c +  1:t3c7mrseACP_c
48;3HAD121;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1); 1:3hcddec5eACP_c-> 1:h2o_c +  1:t3c5ddeceACP_c
49;3HAD160;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0); 1:3hpalmACP_c-> 1:h2o_c +  1:tpalm2eACP_c
50;3HAD161;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1); 1:3hcpalm9eACP_c-> 1:h2o_c +  1:t3c9palmeACP_c
51;2AGPA120tipp;2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm); 1:2ddecg3p_p-> 1:2ddecg3p_c
52;2AGPA140tipp;2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm); 1:2tdecg3p_p-> 1:2tdecg3p_c
53;2AGPA141tipp;2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm); 1:2tdec7eg3p_p-> 1:2tdec7eg3p_c
54;2AGPA160tipp;2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm); 1:2hdecg3p_p-> 1:2hdecg3p_c
55;2AGPA161tipp;2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm); 1:2hdec9eg3p_p-> 1:2hdec9eg3p_c
56;3HAD180;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0); 1:3hoctaACP_c-> 1:h2o_c +  1:toctd2eACP_c
57;3HAD181;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1); 1:3hcvac11eACP_c-> 1:h2o_c +  1:t3c11vaceACP_c
58;3HAD40;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0); 1:3haACP_c-> 1:but2eACP_c +  1:h2o_c
59;2AGPA180tipp;2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm); 1:2odecg3p_p-> 1:2odecg3p_c
60;ACALDtex;Acetaldehyde transport via diffusion (extracellular to periplasm); 1:acald_e-> 1:acald_p
61;2AGPA181tipp;2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm); 1:2odec11eg3p_p-> 1:2odec11eg3p_c
62;2AGPE120tipp;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm); 1:2agpe120_p-> 1:2agpe120_c
63;2AGPE140tipp;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm); 1:2agpe140_p-> 1:2agpe140_c
64;2AGPE141tipp;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm); 1:2agpe141_p-> 1:2agpe141_c
65;2AGPE160tipp;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm); 1:2agpe160_p-> 1:2agpe160_c
66;3HAD60;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0); 1:3hhexACP_c-> 1:h2o_c +  1:thex2eACP_c
67;3HAD80;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0); 1:3hoctACP_c-> 1:h2o_c +  1:toct2eACP_c
68;3HCINNMH;3-hydroxycinnamate hydroxylase; 1:3hcinnm_c +  1:h_c +  1:nadh_c +  1:o2_c-> 1:dhcinnm_c +  1:h2o_c +  1:nad_c
69;3HPPPNH;3-(3-hydroxy-phenyl)propionate hydroxylase; 1:3hpppn_c +  1:h_c +  1:nadh_c +  1:o2_c-> 1:dhpppn_c +  1:h2o_c +  1:nad_c
70;3KGK;3-keto-L-gulonate kinase; 1:3dhguln_c +  1:atp_c-> 1:3dhgulnp_c +  1:adp_c +  1:h_c
71;3NTD2pp;3'-nucleotidase (UMP) (periplasm); 1:3ump_p +  1:h2o_p-> 1:pi_p +  1:uri_p
72;3NTD4pp;3'-nucleotidase (CMP) (periplasm); 1:3cmp_p +  1:h2o_p-> 1:cytd_p +  1:pi_p
73;3NTD7pp;3'-nucleotidase (AMP) (periplasm); 1:3amp_p +  1:h2o_p-> 1:adn_p +  1:pi_p
74;3NTD9pp;3'-nucleotidase (GMP) (periplasm); 1:3gmp_p +  1:h2o_p-> 1:gsn_p +  1:pi_p
75;3OAR100;3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0); 1:3odecACP_c +  1:h_c +  1:nadph_c-> 1:3hdecACP_c +  1:nadp_c
76;3OAR120;3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0); 1:3oddecACP_c +  1:h_c +  1:nadph_c-> 1:3hddecACP_c +  1:nadp_c
77;2AGPE161tipp;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm); 1:2agpe161_p-> 1:2agpe161_c
78;2AGPE180tipp;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm); 1:2agpe180_p-> 1:2agpe180_c
79;2AGPE181tipp;2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm); 1:2agpe181_p-> 1:2agpe181_c
80;2AGPEAT120;2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0); 1:2agpe120_c +  1:atp_c +  1:ddca_c-> 1:amp_c +  1:pe120_c +  1:ppi_c
81;3OAR121;3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1); 1:3ocddec5eACP_c +  1:h_c +  1:nadph_c-> 1:3hcddec5eACP_c +  1:nadp_c
82;3OAR140;3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0); 1:3omrsACP_c +  1:h_c +  1:nadph_c-> 1:3hmrsACP_c +  1:nadp_c
83;2AGPEAT140;2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0); 1:2agpe140_c +  1:atp_c +  1:ttdca_c-> 1:amp_c +  1:pe140_c +  1:ppi_c
84;ACALDtpp;Acetaldehyde reversible transport (periplasm); 1:acald_p-> 1:acald_c
85;2AGPEAT141;2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1); 1:2agpe141_c +  1:atp_c +  1:ttdcea_c-> 1:amp_c +  1:pe141_c +  1:ppi_c
86;2AGPEAT160;2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0); 1:2agpe160_c +  1:atp_c +  1:hdca_c-> 1:amp_c +  1:pe160_c +  1:ppi_c
87;3OAR141;3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1); 1:3ocmrs7eACP_c +  1:h_c +  1:nadph_c-> 1:3hcmrs7eACP_c +  1:nadp_c
88;3OAR160;3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0); 1:3opalmACP_c +  1:h_c +  1:nadph_c-> 1:3hpalmACP_c +  1:nadp_c
89;2AGPEAT161;2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1); 1:2agpe161_c +  1:atp_c +  1:hdcea_c-> 1:amp_c +  1:pe161_c +  1:ppi_c
90;ACANTHAT;Acetyl-CoA:anthranilate acetyltransferase; 1:accoa_c +  1:anth_c-> 1:acanth_c +  1:coa_c
91;2AGPEAT180;2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0); 1:2agpe180_c +  1:atp_c +  1:ocdca_c-> 1:amp_c +  1:pe180_c +  1:ppi_c
92;2AGPEAT181;2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1); 1:2agpe181_c +  1:atp_c +  1:ocdcea_c-> 1:amp_c +  1:pe181_c +  1:ppi_c
93;3OAR161;3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1); 1:3ocpalm9eACP_c +  1:h_c +  1:nadph_c-> 1:3hcpalm9eACP_c +  1:nadp_c
94;3OAR180;3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0); 1:3ooctdACP_c +  1:h_c +  1:nadph_c-> 1:3hoctaACP_c +  1:nadp_c
95;3OAR181;3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1); 1:3ocvac11eACP_c +  1:h_c +  1:nadph_c-> 1:3hcvac11eACP_c +  1:nadp_c
96;3OAR40;3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0); 1:actACP_c +  1:h_c +  1:nadph_c-> 1:3haACP_c +  1:nadp_c
97;2AGPG120tipp;2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm); 1:2agpg120_p-> 1:2agpg120_c
98;2AGPG140tipp;2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm); 1:2agpg140_p-> 1:2agpg140_c
99;2AGPG141tipp;2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm); 1:2agpg141_p-> 1:2agpg141_c
100;2AGPG160tipp;2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm); 1:2agpg160_p-> 1:2agpg160_c
101;2AGPG161tipp;2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm); 1:2agpg161_p-> 1:2agpg161_c
102;2AGPG180tipp;2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm); 1:2agpg180_p-> 1:2agpg180_c
103;3OAR60;3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0); 1:3ohexACP_c +  1:h_c +  1:nadph_c-> 1:3hhexACP_c +  1:nadp_c
104;3OAR80;3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0); 1:3ooctACP_c +  1:h_c +  1:nadph_c-> 1:3hoctACP_c +  1:nadp_c
105;3OAS100;3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0); 1:h_c +  1:malACP_c +  1:ocACP_c-> 1:3odecACP_c +  1:ACP_c +  1:co2_c
106;3OAS120;3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0); 1:dcaACP_c +  1:h_c +  1:malACP_c-> 1:3oddecACP_c +  1:ACP_c +  1:co2_c
107;3OAS121;3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1); 1:cdec3eACP_c +  1:h_c +  1:malACP_c-> 1:3ocddec5eACP_c +  1:ACP_c +  1:co2_c
108;3OAS140;3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0); 1:ddcaACP_c +  1:h_c +  1:malACP_c-> 1:3omrsACP_c +  1:ACP_c +  1:co2_c
109;3OAS141;3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1); 1:cddec5eACP_c +  1:h_c +  1:malACP_c-> 1:3ocmrs7eACP_c +  1:ACP_c +  1:co2_c
110;2AGPG181tipp;2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm); 1:2agpg181_p-> 1:2agpg181_c
111;2AGPGAT120;2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0); 1:2agpg120_c +  1:atp_c +  1:ddca_c-> 1:amp_c +  1:pg120_c +  1:ppi_c
112;2AGPGAT140;2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0); 1:2agpg140_c +  1:atp_c +  1:ttdca_c-> 1:amp_c +  1:pg140_c +  1:ppi_c
113;2AGPGAT141;2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1); 1:2agpg141_c +  1:atp_c +  1:ttdcea_c-> 1:amp_c +  1:pg141_c +  1:ppi_c
114;ACBIPGT;Adenosyl cobinamide phosphate guanyltransferase; 1:adocbip_c +  1:gtp_c +  1:h_c-> 1:agdpcbi_c +  1:ppi_c
115;2AGPGAT160;2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0); 1:2agpg160_c +  1:atp_c +  1:hdca_c-> 1:amp_c +  1:pg160_c +  1:ppi_c
116;3OAS160;3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0); 1:h_c +  1:malACP_c +  1:myrsACP_c-> 1:3opalmACP_c +  1:ACP_c +  1:co2_c
117;3OAS161;3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1); 1:h_c +  1:malACP_c +  1:tdeACP_c-> 1:3ocpalm9eACP_c +  1:ACP_c +  1:co2_c
118;ACCOAC;Acetyl-CoA carboxylase; 1:accoa_c +  1:atp_c +  1:hco3_c-> 1:adp_c +  1:h_c +  1:malcoa_c +  1:pi_c
119;3OAS180;3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0); 1:h_c +  1:malACP_c +  1:palmACP_c-> 1:3ooctdACP_c +  1:ACP_c +  1:co2_c
120;3OAS181;3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1); 1:h_c +  1:hdeACP_c +  1:malACP_c-> 1:3ocvac11eACP_c +  1:ACP_c +  1:co2_c
121;ACCOAL;Acetate-CoA ligase (ADP-forming); 1:atp_c +  1:coa_c +  1:ppa_c-> 1:adp_c +  1:pi_c +  1:ppcoa_c
122;AGM4PA;N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase; 1:anhgm4p_c +  1:h2o_c-> 1:LalaDgluMdapDala_c +  1:anhgm_c
123;3OAS60;3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0); 1:butACP_c +  1:h_c +  1:malACP_c-> 1:3ohexACP_c +  1:ACP_c +  1:co2_c
124;ACGAL1PPpp;N-acetyl-D-galactosamine 1-phosphatase (periplasm); 1:acgal1p_p +  1:h2o_p-> 1:acgal_p +  1:pi_p
125;3OAS80;3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0); 1:h_c +  1:hexACP_c +  1:malACP_c-> 1:3ooctACP_c +  1:ACP_c +  1:co2_c
126;AGM4PApp;N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase (periplasm); 1:anhgm4p_p +  1:h2o_p-> 1:LalaDgluMdapDala_p +  1:anhgm_p
127;AGM4PCP;N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase; 1:anhgm4p_c +  1:h2o_c-> 1:ala__D_c +  1:anhgm3p_c
128;ACGAL1Ptex;N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm); 1:acgal1p_e-> 1:acgal1p_p
129;AGM4PCPpp;N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase (periplasmic); 1:anhgm4p_p +  1:h2o_p-> 1:ala__D_p +  1:anhgm3p_p
130;AGM4PH;N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide beta -1,4-N-acetylglucosaminidase; 1:anhgm4p_c +  1:h2o_c-> 1:acgam_c +  1:anhm4p_c
131;AGM4Pt2pp;GlcNAc-anhMurNAc tetrapeptide transport in via proton symport (periplasm); 1:anhgm4p_p +  1:h_p-> 1:anhgm4p_c +  1:h_c
132;3PEPTabcpp;Tripeptide (LalaDgluMdap) transport via ABC system (periplasm); 1:LalaDgluMdap_p +  1:atp_c +  1:h2o_c-> 1:LalaDgluMdap_c +  1:adp_c +  1:h_c +  1:pi_c
133;3PEPTtex;LalaDgluMdap (tripeptide) transport via diffusion (extracellular to periplasm); 1:LalaDgluMdap_e-> 1:LalaDgluMdap_p
134;3UMPtex;3UMP transport via diffusion (extracellular to periplasm); 1:3ump_e-> 1:3ump_p
135;42A12BOOXpp;4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing); 1:dopa_p +  1:h2o_p +  1:o2_p-> 1:34dhpac_p +  1:h2o2_p +  1:nh4_p
136;4HOXPACDtex;4-hydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm); 1:4hoxpacd_e-> 1:4hoxpacd_p
137;AGMH;N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl beta -1,4-N-acetylglucosaminidase; 1:anhgm_c +  1:h2o_c-> 1:acgam_c +  1:anhm_c
138;AGMHE;ADP-D-glycero-D-manno-heptose epimerase; 1:adphep_DD_c-> 1:adphep_LD_c
139;AGMT;Agmatinase; 1:agm_c +  1:h2o_c-> 1:ptrc_c +  1:urea_c
140;AGMt2pp;GlcNAc-anhMurNAc transport in via proton symport (periplasm); 1:anhgm_p +  1:h_p-> 1:anhgm_c +  1:h_c
141;AGMtex;Agmatine transport via diffusion (extracellular to periplasm); 1:agm_e-> 1:agm_p
142;AGPAT120;1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C12:0); 1:1ddecg3p_c +  1:ddcaACP_c-> 1:ACP_c +  1:pa120_c
143;4HTHRS;4-Hydroxy-L-threonine synthase; 1:h2o_c +  1:phthr_c-> 1:4hthr_c +  1:pi_c
144;4PCP;Tetrapeptide L,D-carboxypeptidase; 1:LalaDgluMdapDala_c +  1:h2o_c-> 1:LalaDgluMdap_c +  1:ala__D_c
145;AGPAT140;1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0); 1:1tdecg3p_c +  1:myrsACP_c-> 1:ACP_c +  1:pa140_c
146;ACGALtex;N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm); 1:acgal_e-> 1:acgal_p
147;4PCPpp;Tetrapeptide L,D-carboxypeptidase (periplasm); 1:LalaDgluMdapDala_p +  1:h2o_p-> 1:LalaDgluMdap_p +  1:ala__D_p
148;4PEPTabcpp;Tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm); 1:LalaDgluMdapDala_p +  1:atp_c +  1:h2o_c-> 1:LalaDgluMdapDala_c +  1:adp_c +  1:h_c +  1:pi_c
149;4PEPTtex;LalaDgluMdapDala (pentapeptide) transport via diffusion (extracellular to periplasm); 1:LalaDgluMdapDala_e-> 1:LalaDgluMdapDala_p
150;ACGAM1PPpp;N-acetyl-D-glucosamine 1-phosphatase (periplasm); 1:acgam1p_p +  1:h2o_p-> 1:acgam_p +  1:pi_p
151;5DGLCNR;5-dehydro-D-gluconate reductase; 1:5dglcn_c +  1:h_c +  1:nadph_c-> 1:glcn_c +  1:nadp_c
152;5DGLCNt2rpp;5-Dehydro-D-gluconate transport via proton symport, reversible (periplasm); 1:5dglcn_p +  1:h_p-> 1:5dglcn_c +  1:h_c
153;ACGAM1Ptex;N-acetyl-D-glucosamine 1-phosphate transport via diffusion (extracellular to periplasm); 1:acgam1p_e-> 1:acgam1p_p
154;5DGLCNtex;5-Dehydro-D-gluconate transport via diffusion (extracellular to periplasm); 1:5dglcn_e-> 1:5dglcn_p
155;ACGAMK;N-acetylglucosamine kinase; 1:acgam_c +  1:atp_c-> 1:acgam6p_c +  1:adp_c +  1:h_c
156;5DOAN;5'-deoxyadenosine nuclosidase; 1:dad_5_c +  1:h2o_c-> 1:5drib_c +  1:ade_c
157;A5PISO;Arabinose-5-phosphate isomerase; 1:ru5p__D_c-> 1:ara5p_c
158;AGPAT141;1-tetradec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:1); 1:1tdec7eg3p_c +  1:tdeACP_c-> 1:ACP_c +  1:pa141_c
159;ACGAMT;UDP-N-acetylglucosamine:undecaprenylphosphate N-acetylglucosamine -1-phosphate transferase; 1:uacgam_c +  1:udcpp_c-> 1:ump_c +  1:unaga_c
160;AGPAT160;1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0); 1:1hdecg3p_c +  1:palmACP_c-> 1:ACP_c +  1:pa160_c
161;AACPS1;Acyl-[acyl-carrier-protein] synthetase (n-C14:0); 1:ACP_c +  1:atp_c +  1:ttdca_c-> 1:amp_c +  1:myrsACP_c +  1:ppi_c
162;AACPS2;Acyl-[acyl-carrier-protein] synthetase  (n-C14:1); 1:ACP_c +  1:atp_c +  1:ttdcea_c-> 1:amp_c +  1:ppi_c +  1:tdeACP_c
163;AACPS3;Acyl-[acyl-carrier-protein] synthetase  (n-C16:0); 1:ACP_c +  1:atp_c +  1:hdca_c-> 1:amp_c +  1:palmACP_c +  1:ppi_c
164;AGPAT161;1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1); 1:1hdec9eg3p_c +  1:hdeACP_c-> 1:ACP_c +  1:pa161_c
165;ACGAptspp;N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm); 1:acgam_p +  1:pep_c-> 1:acgam6p_c +  1:pyr_c
166;AGPAT180;1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0); 1:1odecg3p_c +  1:ocdcaACP_c-> 1:ACP_c +  1:pa180_c
167;AACPS4;Acyl-[acyl-carrier-protein] synthetase  (n-C16:1); 1:ACP_c +  1:atp_c +  1:hdcea_c-> 1:amp_c +  1:hdeACP_c +  1:ppi_c
